UTC time string, UTC time with nanoseconds integer, local time string, UTC time string, elapsed_time, UTC time integer, monotonic seconds, monotonic nanoseconds
2017-01-04T21:16:32.700066756Z, 20170104211632700066756, 2017-01-04T16:16:32.700066756-05:00, 2017-01-04T21:16:32.700066756Z, 8, 20170104211632, 99031, 176619610
2017-01-04T21:16:32.800067241Z, 20170104211632800067241, 2017-01-04T16:16:32.800067241-05:00, 2017-01-04T21:16:32.800067241Z, 8, 20170104211632, 99031, 276620308
2017-01-04T21:16:32.900091607Z, 20170104211632900091607, 2017-01-04T16:16:32.900091607-05:00, 2017-01-04T21:16:32.900091607Z, 8, 20170104211632, 99031, 376644938
2017-01-04T21:16:33.000180378Z, 20170104211633000180378, 2017-01-04T16:16:33.000180378-05:00, 2017-01-04T21:16:33.000180378Z, 9, 20170104211633, 99031, 476733660
2017-01-04T21:16:33.100064760Z, 20170104211633100064760, 2017-01-04T16:16:33.100064760-05:00, 2017-01-04T21:16:33.100064760Z, 9, 20170104211633, 99031, 576617777
2017-01-04T21:16:33.200110713Z, 20170104211633200110713, 2017-01-04T16:16:33.200110713-05:00, 2017-01-04T21:16:33.200110713Z, 9, 20170104211633, 99031, 676663793
2017-01-04T21:16:33.300094504Z, 20170104211633300094504, 2017-01-04T16:16:33.300094504-05:00, 2017-01-04T21:16:33.300094504Z, 9, 20170104211633, 99031, 776647625
2017-01-04T21:16:33.400099545Z, 20170104211633400099545, 2017-01-04T16:16:33.400099545-05:00, 2017-01-04T21:16:33.400099545Z, 9, 20170104211633, 99031, 876652597
2017-01-04T21:16:33.500078018Z, 20170104211633500078018, 2017-01-04T16:16:33.500078018-05:00, 2017-01-04T21:16:33.500078018Z, 9, 20170104211633, 99031, 976631210
2017-01-04T21:16:33.600119814Z, 20170104211633600119814, 2017-01-04T16:16:33.600119814-05:00, 2017-01-04T21:16:33.600119814Z, 9, 20170104211633, 99032, 76673015
2017-01-04T21:16:33.700109403Z, 20170104211633700109403, 2017-01-04T16:16:33.700109403-05:00, 2017-01-04T21:16:33.700109403Z, 9, 20170104211633, 99032, 176662653
2017-01-04T21:16:33.800091282Z, 20170104211633800091282, 2017-01-04T16:16:33.800091282-05:00, 2017-01-04T21:16:33.800091282Z, 9, 20170104211633, 99032, 276644194
2017-01-04T21:16:33.900184187Z, 20170104211633900184187, 2017-01-04T16:16:33.900184187-05:00, 2017-01-04T21:16:33.900184187Z, 9, 20170104211633, 99032, 376737534
2017-01-04T21:16:34.000183841Z, 20170104211634000183841, 2017-01-04T16:16:34.000183841-05:00, 2017-01-04T21:16:34.000183841Z, 10, 20170104211634, 99032, 476737095
2017-01-04T21:16:34.100063842Z, 20170104211634100063842, 2017-01-04T16:16:34.100063842-05:00, 2017-01-04T21:16:34.100063842Z, 10, 20170104211634, 99032, 576616926
2017-01-04T21:16:34.200124932Z, 20170104211634200124932, 2017-01-04T16:16:34.200124932-05:00, 2017-01-04T21:16:34.200124932Z, 10, 20170104211634, 99032, 676678079
2017-01-04T21:16:34.300129261Z, 20170104211634300129261, 2017-01-04T16:16:34.300129261-05:00, 2017-01-04T21:16:34.300129261Z, 10, 20170104211634, 99032, 776682318
2017-01-04T21:16:34.400125717Z, 20170104211634400125717, 2017-01-04T16:16:34.400125717-05:00, 2017-01-04T21:16:34.400125717Z, 10, 20170104211634, 99032, 876678718
2017-01-04T21:16:34.500077737Z, 20170104211634500077737, 2017-01-04T16:16:34.500077737-05:00, 2017-01-04T21:16:34.500077737Z, 10, 20170104211634, 99032, 976630832
2017-01-04T21:16:34.600135053Z, 20170104211634600135053, 2017-01-04T16:16:34.600135053-05:00, 2017-01-04T21:16:34.600135053Z, 10, 20170104211634, 99033, 76688277
2017-01-04T21:16:34.700136950Z, 20170104211634700136950, 2017-01-04T16:16:34.700136950-05:00, 2017-01-04T21:16:34.700136950Z, 10, 20170104211634, 99033, 176690183
2017-01-04T21:16:34.800124600Z, 20170104211634800124600, 2017-01-04T16:16:34.800124600-05:00, 2017-01-04T21:16:34.800124600Z, 10, 20170104211634, 99033, 276677587
2017-01-04T21:16:34.900071353Z, 20170104211634900071353, 2017-01-04T16:16:34.900071353-05:00, 2017-01-04T21:16:34.900071353Z, 10, 20170104211634, 99033, 376624477
2017-01-04T21:16:35.000136645Z, 20170104211635000136645, 2017-01-04T16:16:35.000136645-05:00, 2017-01-04T21:16:35.000136645Z, 11, 20170104211635, 99033, 476689940
2017-01-04T21:16:35.100134295Z, 20170104211635100134295, 2017-01-04T16:16:35.100134295-05:00, 2017-01-04T21:16:35.100134295Z, 11, 20170104211635, 99033, 576687517
2017-01-04T21:16:35.200131633Z, 20170104211635200131633, 2017-01-04T16:16:35.200131633-05:00, 2017-01-04T21:16:35.200131633Z, 11, 20170104211635, 99033, 676684750
2017-01-04T21:16:35.300132614Z, 20170104211635300132614, 2017-01-04T16:16:35.300132614-05:00, 2017-01-04T21:16:35.300132614Z, 11, 20170104211635, 99033, 776685840
2017-01-04T21:16:35.400129875Z, 20170104211635400129875, 2017-01-04T16:16:35.400129875-05:00, 2017-01-04T21:16:35.400129875Z, 11, 20170104211635, 99033, 876683040
2017-01-04T21:16:35.500065827Z, 20170104211635500065827, 2017-01-04T16:16:35.500065827-05:00, 2017-01-04T21:16:35.500065827Z, 11, 20170104211635, 99033, 976619038
2017-01-04T21:16:35.600129261Z, 20170104211635600129261, 2017-01-04T16:16:35.600129261-05:00, 2017-01-04T21:16:35.600129261Z, 11, 20170104211635, 99034, 76682478
2017-01-04T21:16:35.700140346Z, 20170104211635700140346, 2017-01-04T16:16:35.700140346-05:00, 2017-01-04T21:16:35.700140346Z, 11, 20170104211635, 99034, 176693676
2017-01-04T21:16:35.800070154Z, 20170104211635800070154, 2017-01-04T16:16:35.800070154-05:00, 2017-01-04T21:16:35.800070154Z, 11, 20170104211635, 99034, 276623108
2017-01-04T21:16:35.900063632Z, 20170104211635900063632, 2017-01-04T16:16:35.900063632-05:00, 2017-01-04T21:16:35.900063632Z, 11, 20170104211635, 99034, 376616902
2017-01-04T21:16:36.000067132Z, 20170104211636000067132, 2017-01-04T16:16:36.000067132-05:00, 2017-01-04T21:16:36.000067132Z, 12, 20170104211636, 99034, 476620251
2017-01-04T21:16:36.100072282Z, 20170104211636100072282, 2017-01-04T16:16:36.100072282-05:00, 2017-01-04T21:16:36.100072282Z, 12, 20170104211636, 99034, 576625325
2017-01-04T21:16:36.200090553Z, 20170104211636200090553, 2017-01-04T16:16:36.200090553-05:00, 2017-01-04T21:16:36.200090553Z, 12, 20170104211636, 99034, 676643982
2017-01-04T21:16:36.300122462Z, 20170104211636300122462, 2017-01-04T16:16:36.300122462-05:00, 2017-01-04T21:16:36.300122462Z, 12, 20170104211636, 99034, 776675531
2017-01-04T21:16:36.400120236Z, 20170104211636400120236, 2017-01-04T16:16:36.400120236-05:00, 2017-01-04T21:16:36.400120236Z, 12, 20170104211636, 99034, 876673365
2017-01-04T21:16:36.500120728Z, 20170104211636500120728, 2017-01-04T16:16:36.500120728-05:00, 2017-01-04T21:16:36.500120728Z, 12, 20170104211636, 99034, 976673846
2017-01-04T21:16:36.600122856Z, 20170104211636600122856, 2017-01-04T16:16:36.600122856-05:00, 2017-01-04T21:16:36.600122856Z, 12, 20170104211636, 99035, 76675790
2017-01-04T21:16:36.700122328Z, 20170104211636700122328, 2017-01-04T16:16:36.700122328-05:00, 2017-01-04T21:16:36.700122328Z, 12, 20170104211636, 99035, 176675300
2017-01-04T21:16:36.800122761Z, 20170104211636800122761, 2017-01-04T16:16:36.800122761-05:00, 2017-01-04T21:16:36.800122761Z, 12, 20170104211636, 99035, 276675732
2017-01-04T21:16:36.900065619Z, 20170104211636900065619, 2017-01-04T16:16:36.900065619-05:00, 2017-01-04T21:16:36.900065619Z, 12, 20170104211636, 99035, 376618798
2017-01-04T21:16:37.000064324Z, 20170104211637000064324, 2017-01-04T16:16:37.000064324-05:00, 2017-01-04T21:16:37.000064324Z, 13, 20170104211637, 99035, 476617348
2017-01-04T21:16:37.100138177Z, 20170104211637100138177, 2017-01-04T16:16:37.100138177-05:00, 2017-01-04T21:16:37.100138177Z, 13, 20170104211637, 99035, 576691286
2017-01-04T21:16:37.200095392Z, 20170104211637200095392, 2017-01-04T16:16:37.200095392-05:00, 2017-01-04T21:16:37.200095392Z, 13, 20170104211637, 99035, 676648514
2017-01-04T21:16:37.300094428Z, 20170104211637300094428, 2017-01-04T16:16:37.300094428-05:00, 2017-01-04T21:16:37.300094428Z, 13, 20170104211637, 99035, 776647460
2017-01-04T21:16:37.400081064Z, 20170104211637400081064, 2017-01-04T16:16:37.400081064-05:00, 2017-01-04T21:16:37.400081064Z, 13, 20170104211637, 99035, 876634063
2017-01-04T21:16:37.500075991Z, 20170104211637500075991, 2017-01-04T16:16:37.500075991-05:00, 2017-01-04T21:16:37.500075991Z, 13, 20170104211637, 99035, 976629162
2017-01-04T21:16:37.600188286Z, 20170104211637600188286, 2017-01-04T16:16:37.600188286-05:00, 2017-01-04T21:16:37.600188286Z, 13, 20170104211637, 99036, 76741524
2017-01-04T21:16:37.700153304Z, 20170104211637700153304, 2017-01-04T16:16:37.700153304-05:00, 2017-01-04T21:16:37.700153304Z, 13, 20170104211637, 99036, 176706550
2017-01-04T21:16:37.800152568Z, 20170104211637800152568, 2017-01-04T16:16:37.800152568-05:00, 2017-01-04T21:16:37.800152568Z, 13, 20170104211637, 99036, 276705827
2017-01-04T21:16:37.900138907Z, 20170104211637900138907, 2017-01-04T16:16:37.900138907-05:00, 2017-01-04T21:16:37.900138907Z, 13, 20170104211637, 99036, 376692172
2017-01-04T21:16:38.000138975Z, 20170104211638000138975, 2017-01-04T16:16:38.000138975-05:00, 2017-01-04T21:16:38.000138975Z, 14, 20170104211638, 99036, 476692061
2017-01-04T21:16:38.100147554Z, 20170104211638100147554, 2017-01-04T16:16:38.100147554-05:00, 2017-01-04T21:16:38.100147554Z, 14, 20170104211638, 99036, 576700875
2017-01-04T21:16:38.200106233Z, 20170104211638200106233, 2017-01-04T16:16:38.200106233-05:00, 2017-01-04T21:16:38.200106233Z, 14, 20170104211638, 99036, 676659677
2017-01-04T21:16:38.300182806Z, 20170104211638300182806, 2017-01-04T16:16:38.300182806-05:00, 2017-01-04T21:16:38.300182806Z, 14, 20170104211638, 99036, 776735756
2017-01-04T21:16:38.400187995Z, 20170104211638400187995, 2017-01-04T16:16:38.400187995-05:00, 2017-01-04T21:16:38.400187995Z, 14, 20170104211638, 99036, 876741229
2017-01-04T21:16:38.500187836Z, 20170104211638500187836, 2017-01-04T16:16:38.500187836-05:00, 2017-01-04T21:16:38.500187836Z, 14, 20170104211638, 99036, 976741075
2017-01-04T21:16:38.600095328Z, 20170104211638600095328, 2017-01-04T16:16:38.600095328-05:00, 2017-01-04T21:16:38.600095328Z, 14, 20170104211638, 99037, 76648432
